file,line,kind,text
EncryptNotes/App/Mac/MacMainMenuController.swift,31,TitleArg,编辑
EncryptNotes/App/Mac/MacMainMenuController.swift,32,TitleArg,编辑
EncryptNotes/App/Mac/MacMainMenuController.swift,41,TitleArg,格式
EncryptNotes/App/Mac/MacMainMenuController.swift,42,TitleArg,格式
EncryptNotes/App/Mac/MacMainMenuController.swift,51,TitleArg,便签
EncryptNotes/App/Mac/MacMainMenuController.swift,52,TitleArg,便签
EncryptNotes/App/Mac/MacMainMenuController.swift,83,TitleArg,关于 \(appName)
EncryptNotes/App/Mac/MacMainMenuController.swift,85,TitleArg,设置...
EncryptNotes/App/Mac/MacMainMenuController.swift,89,TitleArg,隐藏 \(appName)
EncryptNotes/App/Mac/MacMainMenuController.swift,90,TitleArg,隐藏其他
EncryptNotes/App/Mac/MacMainMenuController.swift,93,TitleArg,全部显示
EncryptNotes/App/Mac/MacMainMenuController.swift,95,TitleArg,退出
EncryptNotes/App/Mac/MacMainMenuController.swift,100,TitleArg,撤销
EncryptNotes/App/Mac/MacMainMenuController.swift,101,TitleArg,重做
EncryptNotes/App/Mac/MacMainMenuController.swift,105,TitleArg,剪切
EncryptNotes/App/Mac/MacMainMenuController.swift,106,TitleArg,复制
EncryptNotes/App/Mac/MacMainMenuController.swift,107,TitleArg,粘贴
EncryptNotes/App/Mac/MacMainMenuController.swift,108,TitleArg,全选
EncryptNotes/App/Mac/MacMainMenuController.swift,150,TitleArg,保存
EncryptNotes/App/Mac/MacMainMenuController.swift,154,TitleArg,应用并保持打开
EncryptNotes/App/Mac/MacMainMenuController.swift,161,TitleArg,适应内容
EncryptNotes/Tests/SchemaTests.swift,116,TitleArg,"明文标题 ""A"""
EncryptNotes/Tests/SchemaTests.swift,233,TitleArg,`# 私密/标题?`
EncryptNotes/Tests/VaultStoreTests.swift,77,TitleArg,# 标题
EncryptNotes/Tests/VaultStoreTests.swift,97,TitleArg,AI 总结/标题?
EncryptNotes/Tests/VaultStoreTests.swift,120,TitleArg,固定标题
EncryptNotes/Tests/VaultStoreTests.swift,340,TitleArg,远端笔记
EncryptNotes/Tests/VaultStoreTests.swift,378,TitleArg,远端加密
EncryptNotes/Tests/VaultStoreTests.swift,409,TitleArg,待下载笔记
EncryptNotes/Tests/VaultStoreTests.swift,524,TitleArg,锁定标题
EncryptNotes/Tests/VaultStoreTests.swift,565,TitleArg,标题内容
EncryptNotes/Tests/VaultStoreTests.swift,582,TitleArg,锁定项目标题
EncryptNotes/Views/Components/BottomComposerView.swift,34,Label,展开编辑
EncryptNotes/Views/Components/BottomComposerView.swift,34,AccessibilityLabel,展开编辑
EncryptNotes/Views/Components/BottomComposerView.swift,49,Label,保存笔记
EncryptNotes/Views/Components/BottomComposerView.swift,49,AccessibilityLabel,保存笔记
EncryptNotes/Views/Components/BottomComposerView.swift,53,Text,在密钥设置中创建或加载密钥后，可将新笔记保存为加密笔记。
EncryptNotes/Views/Components/BottomComposerView.swift,74,Label,明文
EncryptNotes/Views/Components/BottomComposerView.swift,77,Label,加密
EncryptNotes/Views/Components/EncryptedCardView.swift,40,Label,删除
EncryptNotes/Views/Components/EncryptedCardView.swift,69,Text,·
EncryptNotes/Views/Components/NoteCardView.swift,32,Label,编辑
EncryptNotes/Views/Components/NoteCardView.swift,37,Label,删除
EncryptNotes/Views/HomeView.swift,95,Button,立即保存
EncryptNotes/Views/HomeView.swift,96,Button,稍后
EncryptNotes/Views/HomeView.swift,98,Text,"密钥已经创建并加载。
请导出并妥善保存密钥。丢失密钥后，加密笔记将无法恢复。"
